"State FIPS Code","Postal Code","Name","Poverty Estimate, All Ages","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, All Ages","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 0-17","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 0-17","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 5-17 in Families","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 5-17 in Families","90% CI Lower Bound","90% CI Upper Bound","Median Household Income","90% CI Lower Bound","90% CI Upper Bound","Poverty Estimate, Age 0-4","90% CI Lower Bound","90% CI Upper Bound","Poverty Percent, Age 0-4","90% CI Lower Bound","90% CI Upper Bound"
"33","NH","New Hampshire","117822.0","112610.0","123034.0","9.2","8.8","9.6","33155.0","30479.0","35831.0","12.6","11.6","13.6","22097.0","19783.0","24411.0","11.1","9.9","12.3","66469.0","65316.0","67622.0","9641.0","8415.0","10867.0","15.2","13.3","17.1"
"34","NJ","New Jersey","972441.0","954252.0","990630.0","11.1","10.9","11.3","314073.0","303483.0","324663.0","15.8","15.3","16.3","216685.0","207290.0","226080.0","14.8","14.2","15.4","71968.0","71536.0","72400.0","91945.0","86798.0","97092.0","17.6","16.6","18.6"
"35","NM","New Mexico","420388.0","409771.0","431005.0","20.6","20.1","21.1","138918.0","133752.0","144084.0","28.0","27.0","29.0","93819.0","89538.0","98100.0","26.2","25.0","27.4","44905.0","44100.0","45710.0","42581.0","39913.0","45249.0","31.5","29.5","33.5"
"36","NY","New York","3082613.0","3046367.0","3118859.0","16.0","15.8","16.2","949253.0","930163.0","968343.0","22.9","22.4","23.4","646557.0","631790.0","661324.0","21.7","21.2","22.2","58771.0","58381.0","59161.0","284767.0","272691.0","296843.0","24.6","23.6","25.6"
"37","NC","North Carolina","1663954.0","1640565.0","1687343.0","17.2","17.0","17.4","544149.0","530093.0","558205.0","24.1","23.5","24.7","373438.0","361052.0","385824.0","22.6","21.8","23.4","46596.0","46219.0","46973.0","161245.0","154616.0","167874.0","27.1","26.0","28.2"
"38","ND","North Dakota","79203.0","75164.0","83242.0","11.1","10.5","11.7","22572.0","20816.0","24328.0","13.7","12.6","14.8","14011.0","12593.0","15429.0","12.3","11.1","13.5","60227.0","58786.0","61668.0","7779.0","6781.0","8777.0","15.7","13.7","17.7"
"39","OH","Ohio","1778288.0","1755728.0","1800848.0","15.8","15.6","16.0","588618.0","574885.0","602351.0","22.7","22.2","23.2","395792.0","383745.0","407839.0","20.8","20.2","21.4","49349.0","48991.0","49707.0","180249.0","174013.0","186485.0","26.7","25.8","27.6"
"40","OK","Oklahoma","623162.0","611984.0","634340.0","16.6","16.3","16.9","209022.0","202988.0","215056.0","22.4","21.8","23.0","141065.0","135957.0","146173.0","21.1","20.3","21.9","47524.0","47077.0","47971.0","63940.0","60806.0","67074.0","24.8","23.6","26.0"
"41","OR","Oregon","637156.0","621361.0","652951.0","16.4","16.0","16.8","179110.0","171930.0","186290.0","21.3","20.4","22.2","117394.0","111176.0","123612.0","19.3","18.3","20.3","51088.0","50607.0","51569.0","56119.0","52798.0","59440.0","25.0","23.5","26.5"
"42","PA","Pennsylvania","1679008.0","1656324.0","1701692.0","13.6","13.4","13.8","510371.0","497968.0","522774.0","19.2","18.7","19.7","345676.0","334721.0","356631.0","17.8","17.2","18.4","53224.0","52810.0","53638.0","152168.0","146131.0","158205.0","21.7","20.8","22.6"
"44","RI","Rhode Island","149825.0","144246.0","155404.0","14.8","14.3","15.3","44563.0","42149.0","46977.0","21.2","20.1","22.3","29926.0","27885.0","31967.0","19.2","17.9","20.5","54797.0","53523.0","56071.0","13747.0","12527.0","14967.0","25.6","23.3","27.9"
"45","SC","South Carolina","838065.0","822623.0","853507.0","17.9","17.6","18.2","281738.0","272769.0","290707.0","26.4","25.6","27.2","195415.0","187815.0","203015.0","25.1","24.1","26.1","45337.0","44839.0","45835.0","81681.0","77091.0","86271.0","28.7","27.1","30.3"
"46","SD","South Dakota","115906.0","111520.0","120292.0","14.1","13.6","14.6","37836.0","35834.0","39838.0","18.4","17.4","19.4","23496.0","21935.0","25057.0","16.1","15.0","17.2","51059.0","50111.0","52007.0","13429.0","12229.0","14629.0","22.7","20.7","24.7"
"47","TN","Tennessee","1165245.0","1145236.0","1185254.0","18.2","17.9","18.5","380159.0","369180.0","391138.0","25.9","25.2","26.6","260262.0","250713.0","269811.0","24.3","23.4","25.2","44357.0","43810.0","44904.0","113943.0","108558.0","119328.0","29.2","27.8","30.6"
"48","TX","Texas","4519548.0","4474578.0","4564518.0","17.2","17.0","17.4","1721843.0","1695196.0","1748490.0","24.5","24.1","24.9","1185167.0","1162199.0","1208135.0","23.3","22.8","23.8","53067.0","52694.0","53440.0","510649.0","498392.0","522906.0","26.5","25.9","27.1"
"49","UT","Utah","341587.0","330845.0","352329.0","11.8","11.4","12.2","120155.0","113195.0","127115.0","13.4","12.6","14.2","81347.0","75358.0","87336.0","12.7","11.8","13.6","60943.0","60307.0","61579.0","35687.0","32291.0","39083.0","14.4","13.0","15.8"
"50","VT","Vermont","72294.0","68859.0","75729.0","12.0","11.4","12.6","18374.0","16966.0","19782.0","15.4","14.2","16.6","12473.0","11267.0","13679.0","14.1","12.7","15.5","54153.0","52739.0","55567.0","5157.0","4469.0","5845.0","17.4","15.1","19.7"
"51","VA","Virginia","955541.0","936889.0","974193.0","11.8","11.6","12.0","292525.0","282366.0","302684.0","15.9","15.3","16.5","199966.0","191248.0","208684.0","15.0","14.3","15.7","64923.0","64318.0","65528.0","85189.0","80025.0","90353.0","16.9","15.9","17.9"
"53","WA","Washington","913463.0","895355.0","931571.0","13.2","12.9","13.5","275662.0","265882.0","285442.0","17.5","16.9","18.1","180464.0","171990.0","188938.0","16.0","15.2","16.8","61358.0","60882.0","61834.0","85453.0","80800.0","90106.0","19.6","18.5","20.7"
"54","WV","West Virginia","328734.0","320351.0","337117.0","18.3","17.8","18.8","91659.0","88030.0","95288.0","25.0","24.0","26.0","61365.0","58228.0","64502.0","23.1","21.9","24.3","41030.0","40399.0","41661.0","28483.0","26640.0","30326.0","28.7","26.8","30.6"
"55","WI","Wisconsin","737307.0","723342.0","751272.0","13.2","13.0","13.4","233850.0","226399.0","241301.0","18.4","17.8","19.0","155813.0","149525.0","162101.0","16.7","16.0","17.4","52632.0","52206.0","53058.0","71850.0","67945.0","75755.0","21.5","20.3","22.7"
"56","WY","Wyoming","63860.0","60264.0","67456.0","11.2","10.6","11.8","18580.0","17090.0","20070.0","13.7","12.6","14.8","11933.0","10692.0","13174.0","12.2","10.9","13.5","58291.0","56701.0","59881.0","5794.0","5043.0","6545.0","15.5","13.5","17.5"
